        BP2000 Sound Speeds 

       R/R_sun    Sound speed
                     (km/s)

    0.784583    184.630
    0.786121    183.783
    0.787650    182.941
    0.789171    182.102
    0.790684    181.267
    0.792188    180.436
    0.793683    179.609
    0.795170    178.786
    0.796649    177.966
    0.798119    177.150
    0.799581    176.338
    0.801035    175.530
    0.802480    174.725
    0.803917    173.924
    0.805345    173.126
    0.806766    172.332
    0.808177    171.542
    0.809581    170.755
    0.810976    169.972
    0.812363    169.192
    0.813742    168.416
    0.815113    167.644
    0.816475    166.875
    0.817829    166.110
    0.819175    165.348
    0.820513    164.590
    0.821842    163.835
    0.823164    163.085
    0.824477    162.338
    0.825783    161.595
    0.827080    160.856
    0.828369    160.120
    0.829650    159.388
    0.830923    158.658
    0.832189    157.933
    0.833446    157.210
    0.834695    156.491
    0.835937    155.775
    0.837170    155.062
    0.838396    154.352
    0.839614    153.645
    0.840824    152.941
    0.842026    152.240
    0.843221    151.542
    0.844407    150.847
    0.845586    150.155
    0.846758    149.467
    0.847921    148.782
    0.849078    148.100
    0.850226    147.421
    0.851367    146.746
    0.852500    146.073
    0.853626    145.404
    0.854744    144.738
    0.855855    144.075
    0.856959    143.414
    0.858055    142.757
    0.859143    142.103
    0.860225    141.451
    0.861299    140.802
    0.862366    140.157
    0.863425    139.513
    0.864477    138.873
    0.865522    138.236
    0.866560    137.601
    0.867591    136.969
    0.868614    136.339
    0.869631    135.713
    0.870640    135.089
    0.871642    134.467
    0.872638    133.849
    0.873626    133.234
    0.874607    132.622
    0.875582    132.013
    0.876550    131.407
    0.877510    130.803
    0.878464    130.203
    0.879412    129.606
    0.880352    129.011
    0.881286    128.419
    0.882213    127.830
    0.883134    127.243
    0.884048    126.659
    0.884955    126.078
    0.885856    125.500
    0.886751    124.924
    0.887639    124.350
    0.888520    123.779
    0.889395    123.211
    0.890264    122.645
    0.891126    122.081
    0.891982    121.520
    0.892832    120.962
    0.893676    120.405
    0.894513    119.852
    0.895344    119.300
    0.896170    118.751
    0.896988    118.205
    0.897801    117.660
    0.898608    117.118
    0.899409    116.579
    0.900204    116.042
    0.900993    115.508
    0.901775    114.976
    0.902552    114.448
    0.903324    113.922
    0.904089    113.398
    0.904849    112.878
    0.905603    112.359
    0.906351    111.843
    0.907093    111.329
    0.907830    110.818
    0.908562    110.309
    0.909287    109.802
    0.910007    109.297
    0.910722    108.794
    0.911431    108.294
    0.912135    107.795
    0.912833    107.299
    0.913526    106.804
    0.914214    106.312
    0.914896    105.821
    0.915573    105.334
    0.916245   104.8484
    0.916911   104.3659
    0.917573   103.8859
    0.918229   103.4083
    0.918880   102.9330
    0.919526   102.4600
    0.920167   101.9892
    0.920803   101.5205
    0.921434   101.0538
    0.922061   100.5891
    0.922682   100.1264
    0.923298    99.6656
    0.923910    99.2067
    0.924516    98.7496
    0.925118    98.2944
    0.925715    97.8410
    0.926307    97.3894
    0.926895    96.9396
    0.927478    96.4916
    0.928056    96.0453
    0.928630    95.6008
    0.929199    95.1581
    0.929764    94.7171
    0.930324    94.2782
    0.930879    93.8419
    0.931430    93.4082
    0.931977    92.9769
    0.932519    92.5480
    0.933057    92.1213
    0.933591    91.6968
    0.934120    91.2744
    0.934645    90.8541
    0.935166    90.4358
    0.935682    90.0195
    0.936195    89.6050
    0.936703    89.1925
    0.937207    88.7817
    0.937707    88.3728
    0.938203    87.9656
    0.938695    87.5602
    0.939183    87.1565
    0.939667    86.7545
    0.940147    86.3541
    0.940623    85.9555
    0.941095    85.5584
    0.941564    85.1630
    0.942028    84.7693
    0.942489    84.3772
    0.942946    83.9867
    0.943399    83.5977
    0.943849    83.2102
    0.944294    82.8242
    0.944737    82.4397
    0.945175    82.0568
    0.945610    81.6754
    0.946041    81.2961
    0.946469    80.9194
    0.946893    80.5452
    0.947313    80.1733
    0.947730    79.8035
    0.948144    79.4357
    0.948554    79.0698
    0.948961    78.7052
